split,zbin,lesion_present,domain,n_slices,mean_brain_frac,mean_intensity,std_intensity,mean_lesion_area_px
train,10,0,epilepsy,143,0.34600702032342656,0.6140932770042152,0.30181907190309537,
train,10,1,epilepsy,25,0.34762939453125,0.6428897881507873,0.29135852694511416,38.88
train,11,0,control,96,0.35084279378255206,0.5750621849050125,0.3146589432532589,
train,11,0,epilepsy,90,0.3516011555989583,0.603012881676356,0.31212970349523755,
train,11,1,epilepsy,22,0.3528164950284091,0.636180040511218,0.30327567729082977,39.27272727272727
train,12,0,control,96,0.35263824462890625,0.582953529432416,0.32757484323034686,
train,12,0,epilepsy,87,0.35369452114762934,0.6061736126055662,0.3264442113624222,
train,12,1,epilepsy,25,0.35363525390625,0.6349302220344544,0.32015144228935244,45.88
train,13,0,control,144,0.35143746270073783,0.597298620061742,0.3179377524389161,
train,13,0,epilepsy,131,0.35244168580033397,0.6248588730360716,0.3148311389084081,
train,13,1,epilepsy,37,0.3524301889780405,0.6438623940622484,0.3125448726318978,56.16216216216216
train,14,0,control,96,0.3479957580566406,0.5934307972590128,0.31186894917239744,
train,14,0,epilepsy,84,0.3489735921223958,0.628212339821316,0.30689545241849764,
train,14,1,epilepsy,28,0.3488987513950893,0.6338085468326297,0.30891277747494833,59.607142857142854
train,15,0,control,96,0.34286244710286456,0.5797213511541486,0.3194224390511711,
train,15,0,epilepsy,74,0.3442778716216216,0.6253708838611036,0.31125637506311005,
train,15,1,epilepsy,38,0.34408248098273025,0.6091099985336003,0.31739171476740585,45.473684210526315
train,16,0,control,144,0.3352165222167969,0.5686048120260239,0.3319096031288306,
train,16,0,epilepsy,94,0.3362660509474734,0.616802288813794,0.3198427122007025,
train,16,1,epilepsy,74,0.3361354518581081,0.6071538546600858,0.32678562302041697,39.86486486486486
train,17,0,control,96,0.32622845967610675,0.5765978281075755,0.2860155614713828,
train,17,0,epilepsy,56,0.3266536167689732,0.6286716897572789,0.27899504479553017,
train,17,1,epilepsy,56,0.32716260637555805,0.6202631773693221,0.2800667320511171,45.285714285714285
train,18,0,control,96,0.31658172607421875,0.598245145753026,0.25257632276043296,
train,18,0,epilepsy,55,0.31732066761363636,0.6446143291213295,0.24246283146468076,
train,18,1,epilepsy,57,0.3173988743832237,0.6445803736385546,0.24150832729381427,52.05263157894737
train,19,0,control,96,0.30579376220703125,0.5973291558523973,0.2568904409805934,
train,19,0,epilepsy,53,0.3064552163178066,0.6487889885902405,0.24099258713002475,
train,19,1,epilepsy,59,0.3065982107388771,0.6463715878583617,0.2454622885433294,56.69491525423729
train,20,0,control,144,0.2908087836371528,0.607756899876727,0.26202550075120395,
train,20,0,epilepsy,80,0.29112091064453127,0.6541706077754498,0.24530261103063822,
train,20,1,epilepsy,88,0.2909816395152699,0.6568147011778571,0.24830205332149158,60.88636363636363
train,21,0,control,96,0.27272288004557294,0.619569007307291,0.26723141005883616,
train,21,0,epilepsy,56,0.27292306082589285,0.6565350315400532,0.25329687100436005,
train,21,1,epilepsy,56,0.27211434500558035,0.6635384442550796,0.25205184439463274,62.44642857142857
train,22,0,control,96,0.25578562418619794,0.6108675021678209,0.2790026195968191,
train,22,0,epilepsy,53,0.25680023769162735,0.6407111939394249,0.26832137523957017,
train,22,1,epilepsy,59,0.2554062665519068,0.6626788539401556,0.26097225890321246,56.30508474576271
train,23,0,control,144,0.23313776652018228,0.5865484287755357,0.3002737765717838,
train,23,0,epilepsy,89,0.2337132143170646,0.6220871002486582,0.28813402706317687,
train,23,1,epilepsy,79,0.23266678822191456,0.6442940763280361,0.27891221623631973,54.620253164556964
train,24,0,control,96,0.20726331075032553,0.5632468381275734,0.312602451381584,
train,24,0,epilepsy,70,0.2075439453125,0.6037092460053307,0.3033065250941685,
train,24,1,epilepsy,42,0.20526268368675596,0.6165065211909158,0.2999710596743084,58.0
train,25,0,control,96,0.18367894490559897,0.5518543968598048,0.3260289120177428,
train,25,0,epilepsy,77,0.1837871601055195,0.5891188143135665,0.31902556179405805,
train,25,1,epilepsy,35,0.18189871651785713,0.602302382673536,0.3147200984614236,55.94285714285714
train,26,0,control,144,0.15269046359592015,0.5482347168856196,0.34135339181456303,
train,26,0,epilepsy,124,0.1514036117061492,0.5830931615444922,0.33384486191695734,
train,26,1,epilepsy,44,0.15126869895241477,0.6007847596298564,0.3280449638312513,43.65909090909091
train,27,0,control,96,0.12094434102376302,0.5435670033718148,0.3500924746816357,
train,27,0,epilepsy,98,0.11970613440688775,0.5688480555402989,0.3514408481364347,
train,27,1,epilepsy,14,0.11591448102678571,0.6001639877046857,0.3441195424113955,64.28571428571429
train,28,0,control,96,0.09422874450683594,0.528574758519729,0.3718463632588585,
train,28,0,epilepsy,99,0.09193744081439394,0.5479802727097213,0.37743006149927777,
train,28,1,epilepsy,13,0.08891883263221154,0.5606717169284821,0.38420406671670765,52.69230769230769
train,29,0,control,134,0.05966642009678172,0.49647143238515995,0.41193431993918633,
train,29,0,epilepsy,133,0.058683237635103386,0.4952238804863808,0.4210085528237479,
train,29,1,epilepsy,13,0.05733079176682692,0.5069645345211029,0.41211104622254,27.153846153846153
