source,split,z_bin,threshold,n_lesion,n_over_threshold
real,train,3,0,3,3
real,train,3,50,3,1
real,train,3,60,3,1
real,train,3,75,3,0
real,train,3,80,3,0
real,train,3,90,3,0
real,train,3,100,3,0
real,train,4,0,2,2
real,train,4,50,2,2
real,train,4,60,2,2
real,train,4,75,2,0
real,train,4,80,2,0
real,train,4,90,2,0
real,train,4,100,2,0
real,train,5,0,4,4
real,train,5,50,4,1
real,train,5,60,4,0
real,train,5,75,4,0
real,train,5,80,4,0
real,train,5,90,4,0
real,train,5,100,4,0
real,train,6,0,8,8
real,train,6,50,8,3
real,train,6,60,8,2
real,train,6,75,8,0
real,train,6,80,8,0
real,train,6,90,8,0
real,train,6,100,8,0
real,train,7,0,6,6
real,train,7,50,6,3
real,train,7,60,6,1
real,train,7,75,6,0
real,train,7,80,6,0
real,train,7,90,6,0
real,train,7,100,6,0
real,train,8,0,9,9
real,train,8,50,9,2
real,train,8,60,9,2
real,train,8,75,9,2
real,train,8,80,9,2
real,train,8,90,9,1
real,train,8,100,9,0
real,train,9,0,13,13
real,train,9,50,13,3
real,train,9,60,13,3
real,train,9,75,13,2
real,train,9,80,13,2
real,train,9,90,13,2
real,train,9,100,13,2
real,train,10,0,25,25
real,train,10,50,25,10
real,train,10,60,25,7
real,train,10,75,25,2
real,train,10,80,25,1
real,train,10,90,25,0
real,train,10,100,25,0
real,train,11,0,22,22
real,train,11,50,22,9
real,train,11,60,22,7
real,train,11,75,22,3
real,train,11,80,22,1
real,train,11,90,22,0
real,train,11,100,22,0
real,train,12,0,25,25
real,train,12,50,25,10
real,train,12,60,25,8
real,train,12,75,25,7
real,train,12,80,25,3
real,train,12,90,25,2
real,train,12,100,25,1
real,train,13,0,37,37
real,train,13,50,37,16
real,train,13,60,37,14
real,train,13,75,37,12
real,train,13,80,37,12
real,train,13,90,37,11
real,train,13,100,37,8
real,train,14,0,28,28
real,train,14,50,28,15
real,train,14,60,28,13
real,train,14,75,28,10
real,train,14,80,28,10
real,train,14,90,28,7
real,train,14,100,28,5
real,train,15,0,38,38
real,train,15,50,38,15
real,train,15,60,38,14
real,train,15,75,38,10
real,train,15,80,38,8
real,train,15,90,38,5
real,train,15,100,38,2
real,train,16,0,74,74
real,train,16,50,74,20
real,train,16,60,74,16
real,train,16,75,74,10
real,train,16,80,74,10
real,train,16,90,74,8
real,train,16,100,74,4
real,train,17,0,56,56
real,train,17,50,56,21
real,train,17,60,56,16
real,train,17,75,56,10
real,train,17,80,56,9
real,train,17,90,56,8
real,train,17,100,56,7
real,train,18,0,57,57
real,train,18,50,57,24
real,train,18,60,57,22
real,train,18,75,57,12
real,train,18,80,57,12
real,train,18,90,57,11
real,train,18,100,57,9
real,train,19,0,59,59
real,train,19,50,59,28
real,train,19,60,59,23
real,train,19,75,59,19
real,train,19,80,59,17
real,train,19,90,59,10
real,train,19,100,59,10
real,train,20,0,88,88
real,train,20,50,88,40
real,train,20,60,88,35
real,train,20,75,88,28
real,train,20,80,88,26
real,train,20,90,88,20
real,train,20,100,88,18
real,train,21,0,56,56
real,train,21,50,56,23
